CustomerId,sms_cnt,email_cnt,allcom_cnt,mail_cnt,sew_qty,sew_ns,paper_qty,paper_ns,pct_qty,pct_ns,needle_qty,needle_ns,quilt_qty,quilt_ns,impulse_qty,impulse_ns,other_qty,other_ns,kids_qty,kids_ns,jewelry_qty,jewelry_ns,ribbon_qty,ribbon_ns,paint_qty,paint_ns,seasfloral_qty,seasfloral_ns,celeb_qty,celeb_ns,fabric_qty,fabric_ns,fleece_qty,fleece_ns,warm_qty,warm_ns,homedec_qty,homedec_ns,public_qty,public_ns,special_qty,special_ns,foam_qty,foam_ns,bccomp_qty,bccomp_ns,sew_ns_qty,paper_ns_qty,pct_ns_qty,needle_ns_qty,quilt_ns_qty,impulse_ns_qty,other_ns_qty,kids_ns_qty,jewelry_ns_qty,ribbon_ns_qty,paint_ns_qty,seasfloral_ns_qty,celeb_ns_qty,fabric_ns_qty,fleece_ns_qty,special_ns_qty,warm_ns_qty,homedec_ns_qty,public_ns_qty,foam_ns_qty,bccomp_ns_qty,net_sales,avg,Cluster
1007186933,0,351,372,21,4,12.96,9,5.31,0,0,0,0,7,17.97,10,20.5,6.5,51.63,2,5.88,0,0,3,8.43,1,7.99,0,0,7,22.93,0,0,0,0,0,0,0,0,0,0,17.25,61.97,0,0,2,0.5,3.24,0.59,0,0,2.567142857,2.05,7.943076923,2.94,0,2.81,7.99,0,3.275714286,0,0,3.592463768,0,0,0,0,0.25,216.07,10.28904762,2
1010490397,0,0,5,5,3,4.48,1,27.99,1,6.99,0,0,4,9.94,4,11.27,11,64.51,6,44.44,0,0,0,0,19,102.61,0,0,0,0,1.25,6.74,3,28.97,0,0,5,11.45,0,0,1,17.49,0,0,10,16.42,1.493333333,27.99,6.99,0,2.485,2.8175,5.864545455,7.406666667,0,0,5.400526316,0,0,5.392,9.656666667,17.49,0,2.29,0,0,1.642,353.3,16.82380952,2
1010936852,52,346,405,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4.47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.47,0,0,0,0,4.47,0.212857143,2
1011344809,0,0,5,5,2,5.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.815,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.63,0.268095238,2
1011641378,36,308,359,15,0,0,0,0,0,0,3,11.98,0,0,2,1.5,3,4.68,1,3.74,0,0,0,0,0,0,0,0,0,0,0,0,0.5,1.13,0,0,0,0,0,0,0,0,0,0,4,4.31,0,0,0,3.993333333,0,0.75,1.56,3.74,0,0,0,0,0,0,2.26,0,0,0,0,0,1.0775,27.34,1.301904762,2
1012085583,0,298,298,0,0,0,0,0,0,0,22,89,0,0,0,0,1,0,0,0,0,0,0,0,2,9.79,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.045454546,0,0,0,0,0,0,4.895,0,0,0,0,0,0,0,0,0,0,98.79,4.704285714,2
1012204556,0,324,324,0,1,1.99,0,0,0,0,29,110.93,0,0,0,0,2,0,1,0.99,1,1.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.99,0,0,3.825172414,0,0,0,0.99,1.12,0,0,0,0,0,0,0,0,0,0,0,0,115.03,5.477619048,2
1012278709,0,306,306,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3.19,0,0,0,0,0,0,0,0,0,0,0,0,3.306,26.83,0,0,0,0,0,0,0,0,3.222,29.4,0,0,2,4.38,0,0,0,0,0,0,3.19,0,0,0,0,0,0,8.115547489,0,9.124767225,0,0,0,0,2.19,63.8,3.038095238,2
1012747315,0,0,6,6,0,0,7,1.4,0,0,1,5.59,10,42.34,46,56.91,13.972,67.75,3,3.66,1,3.98,6,12,1,0.39,0,0,0,0,2,9.6,10.889,71.84,0,0,0,0,25,13.99,2.222,8.61,0,0,2,7.95,0,0.2,0,5.59,4.234,1.237173913,4.848983682,1.22,3.98,2,0.39,0,0,4.8,6.597483699,3.874887489,0,0,0.5596,0,3.975,306.01,14.57190476,2
1013258072,0,286,286,0,2,30.98,0,0,0,0,0,0,0,0,0,0,1,14.99,0,0,0,0,1,2.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,14.9,0,0,0,0,15.49,0,0,0,0,0,14.99,0,0,2.49,0,0,0,0,0,1.49,0,0,0,0,0,63.36,3.017142857,2
